Rank,Player,Pos,Team Signed,Age At Signing,Start,End,Yrs,Value,AAV,Type,Value Adjusted,AAV adjusted,Performance Season,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,Season,Efficiency,TS%,PIE,PIE_scaled
408,Timothe Luwawu-Cabarrot,SG,PHI,20,2016,2019,4,"$6,788,195 ","$1,697,049 ",Rookie,"$8,618,179.24 ",2154544.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,Tony Snell,SG,CHI,21,2013,2016,4,"$6,785,647 ","$1,696,412 ",Rookie,"$8,877,572.52 ",2219393.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,Eric Gordon,SG,PHI,35,2024,2025,2,"$6,772,731 ","$3,386,366 ",Free Agent,"$6,772,731.00 ",3386365.5,2023-24,201569.0,Eric Gordon,Eric,1610612756.0,PHX,35.0,68.0,41.0,27.0,0.603,27.8,4.0,9.1,0.443,2.2,5.8,0.378,0.8,0.9,0.797,0.2,1.6,1.8,2.0,1.1,1.0,0.4,0.6,1.2,0.9,11.0,1.9,19.4,0.0,0.0,19.9,148.0,97.0,213.0,167.0,132.0,164.0,146.0,315.0,59.0,62.0,160.0,293.0,320.0,224.0,481.0,369.0,412.0,194.0,199.0,97.0,199.0,133.0,370.0,294.0,155.0,123.0,212.0,257.0,38.0,191.0,2023-24,9.9,0.5791912384161753,2.9118229423412002e-05,32.47663551401869
411,Jodie Meeks,SG,WAS,29,2017,2018,2,"$6,744,500 ","$3,372,250 ",,"$8,384,533.46 ",4192266.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,Terrence Williams,SG,NJN,21,2009,2013,3,"$6,643,560 ","$2,214,520 ",,"$9,437,262.15 ",3145754.05,2008-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,Jaylen Nowell,SG,MIN,19,2019,2021,4,"$6,631,283 ","$1,657,821 ",Rookie,"$7,902,041.18 ",1975510.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,Evan Fournier,SG,DEN,19,2012,2015,4,"$6,556,244 ","$1,639,061 ",Rookie,"$8,700,729.73 ",2175182.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,Eric Gordon,SG,PHX,34,2023,2024,2,"$6,552,719 ","$3,276,360 ",Free Agent,"$6,673,173.39 ",3336586.69,2022-23,201569.0,Eric Gordon,Eric,1610612746.0,LAC,34.0,69.0,25.0,44.0,0.362,28.5,4.2,9.5,0.446,1.9,5.2,0.371,2.1,2.5,0.821,0.2,1.7,1.9,2.7,1.5,0.6,0.4,0.4,1.1,1.9,12.4,-3.0,20.2,0.0,0.0,20.9,123.0,262.0,30.0,428.0,132.0,142.0,135.0,301.0,90.0,80.0,180.0,117.0,124.0,171.0,461.0,358.0,396.0,143.0,133.0,232.0,213.0,178.0,413.0,152.0,132.0,460.0,197.0,253.0,39.0,174.0,2022-23,10.799999999999999,0.5849056603773585,3.1765341189176736e-05,34.579439252336456
416,K.J. McDaniels,SG,HOU,21,2015,2016,2,"$6,523,126 ","$3,261,563 ",,"$8,386,483.09 ",4193241.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,Xavier Henry,SG,MEM,18,2010,2012,3,"$6,515,040 ","$2,171,680 ",Rookie,"$9,101,938.05 ",3033979.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T418,Carlos Delfino,SG,MIL,30,2013,2015,2,"$6,500,000 ","$3,250,000 ",,"$8,503,864.32 ",4251932.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T418,Mario Hezonja,SG,NYK,22,2018,2018,1,"$6,500,000 ","$6,500,000 ",,"$7,887,495.02 ",7887495.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,Edmond Sumner,SG,IND,23,2019,2021,3,"$6,480,000 ","$2,160,000 ",Free Agent,"$7,721,767.70 ",2573922.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,Lonnie Walker IV,SG,LAL,23,2022,2022,1,"$6,479,000 ","$6,479,000 ",Free Agent,"$6,866,613.22 ",6866613.22,2021-22,1629022.0,Lonnie Walker IV,Lonnie,1610612759.0,SAS,23.0,70.0,27.0,43.0,0.386,23.0,4.4,10.9,0.407,1.6,5.0,0.314,1.7,2.1,0.784,0.3,2.3,2.6,2.2,1.0,0.6,0.3,0.4,1.4,1.3,12.1,-1.1,20.2,0.0,0.0,20.3,101.0,223.0,41.0,435.0,212.0,136.0,111.0,402.0,129.0,104.0,336.0,148.0,154.0,249.0,491.0,309.0,353.0,178.0,224.0,254.0,308.0,257.0,358.0,256.0,130.0,370.0,204.0,268.0,40.0,183.0,2021-22,9.9,0.5116711772665764,2.9118229423412e-05,32.47663551401869
422,Austin Rivers,SG,LAC,22,2015,2016,2,"$6,454,902 ","$3,227,451 ",,"$8,298,770.63 ",4149385.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,Daequan Cook,SG,OKC,23,2011,2012,2,"$6,432,500 ","$3,216,250 ",,"$8,714,907.74 ",4357453.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,Ben Gordon,SG,CHI,24,2008,2008,1,"$6,404,750 ","$6,404,750 ",,"$9,064,223.53 ",9064223.53,2007-08,2732.0,Ben Gordon,Ben,1610612741.0,CHI,25.0,72.0,29.0,43.0,0.403,31.8,6.4,14.8,0.434,2.0,4.8,0.41,3.7,4.1,0.908,0.6,2.5,3.1,3.0,2.1,0.8,0.1,0.6,2.4,3.4,18.6,-3.2,27.2,0.0,0.0,28.3,166.0,209.0,69.0,302.0,87.0,51.0,40.0,247.0,19.0,25.0,37.0,47.0,62.0,24.0,269.0,189.0,213.0,89.0,66.0,142.0,324.0,92.0,119.0,60.0,47.0,381.0,87.0,222.0,17.0,70.0,2007-08,14.700000000000005,0.5601059985545652,4.323615884082388e-05,43.69158878504673
425,Aaron Wiggins,SG,OKC,23,2021,2024,4,"$6,388,212 ","$1,597,053 ",rest-of-season,"$7,164,108.19 ",1791027.05,2020-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,AJ Green,SG,MIL,23,2023,2025,3,"$6,324,049 ","$2,108,016 ",Free Agent,"$6,440,299.90 ",2146766.63,2022-23,1631260.0,AJ Green,AJ,1610612749.0,MIL,23.0,35.0,27.0,8.0,0.771,9.9,1.5,3.6,0.424,1.3,3.0,0.419,0.1,0.1,1.0,0.2,1.1,1.3,0.6,0.3,0.2,0.0,0.0,0.9,0.1,4.4,-0.7,7.1,0.0,0.0,7.9,379.0,238.0,442.0,14.0,448.0,411.0,386.0,378.0,173.0,216.0,52.0,499.0,508.0,1.0,487.0,445.0,465.0,428.0,487.0,478.0,491.0,498.0,454.0,518.0,392.0,309.0,455.0,253.0,39.0,436.0,2022-23,4.1000000000000005,0.6037321624588364,1.205906471070598e-05,18.925233644859812
427,Ray Allen,SG,MIA,36,2012,2013,2,"$6,319,050 ","$3,159,525 ",,"$8,385,951.81 ",4192975.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,Wayne Ellington,SG,MIA,30,2018,2018,1,"$6,270,000 ","$6,270,000 ",,"$7,608,399.04 ",7608399.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,Acie Law,SG,ATL,22,2007,2009,3,"$6,214,920 ","$2,071,640 ",Rookie,"$9,135,003.01 ",3045001.0,2006-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,Sean Kilpatrick,SG,CHI,26,2017,2019,3,"$6,200,000 ","$2,066,667 ",,"$7,707,629.54 ",2569209.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,Courtney Lee,SG,ORL,22,2008,2011,4,"$6,074,812 ","$1,518,703 ",Rookie,"$8,597,283.87 ",2149320.97,2007-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,Tim Hardaway Jr.,SG,NYK,20,2013,2016,4,"$6,033,525 ","$1,508,381 ",Rookie,"$7,893,581.23 ",1973395.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,J.R. Smith,SG,NOH,18,2004,2007,4,"$6,025,307 ","$1,506,327 ",Rookie,"$9,718,957.35 ",2429739.34,2003-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T436,Anthony Parker,SG,CLE,33,2009,2010,2,"$6,000,000 ","$3,000,000 ",,"$8,523,076.92 ",4261538.46,2008-09,1515.0,Anthony Parker,Anthony,1610612761.0,TOR,34.0,80.0,31.0,49.0,0.388,33.0,4.0,9.4,0.426,1.2,3.0,0.39,1.5,1.8,0.834,0.6,3.4,4.0,3.4,1.4,1.3,0.2,0.4,1.8,1.8,10.7,-1.1,23.4,0.0,0.0,22.1,54.0,185.0,37.0,315.0,85.0,141.0,125.0,282.0,88.0,101.0,95.0,170.0,193.0,91.0,267.0,123.0,153.0,67.0,151.0,36.0,265.0,203.0,237.0,170.0,145.0,280.0,133.0,229.0,15.0,136.0,2008-09,12.499999999999996,0.5249215070643641,3.676544119117676e-05,38.551401869158866
T436,Carlos Delfino,SG,HOU,29,2012,2013,2,"$6,000,000 ","$3,000,000 ",,"$7,962,543.55 ",3981271.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T436,Bryn Forbes,SG,SAS,24,2018,2019,2,"$6,000,000 ","$3,000,000 ",,"$7,280,764.64 ",3640382.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T436,Patrick McCaw,SG,CLE,22,2018,2019,2,"$6,000,000 ","$3,000,000 ",,"$7,280,764.64 ",3640382.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T436,Alec Burks,SG,NYK,28,2020,2020,1,"$6,000,000 ","$6,000,000 ",Free Agent,"$7,064,142.19 ",7064142.19,2019-20,202692.0,Alec Burks,Alec,1610612755.0,PHI,28.0,66.0,21.0,45.0,0.318,26.6,4.9,11.6,0.418,1.8,4.6,0.385,3.6,4.0,0.887,0.7,3.5,4.3,2.9,1.4,0.9,0.3,0.7,1.9,3.2,15.0,-3.4,26.7,1.0,0.0,26.3,70.0,235.0,5.0,426.0,148.0,110.0,93.0,340.0,94.0,100.0,106.0,43.0,53.0,49.0,223.0,151.0,168.0,115.0,145.0,105.0,269.0,97.0,213.0,66.0,88.0,455.0,102.0,187.0,29.0,96.0,2019-20,14.9,0.561377245508982,4.353028237035329e-05,43.9252336448598
T436,Sterling Brown,SG,DAL,26,2021,2022,2,"$6,000,000 ","$3,000,000 ",Free Agent,"$6,728,744.94 ",3364372.47,2020-21,1628425.0,Sterling Brown,Sterling,1610612745.0,HOU,26.0,51.0,14.0,37.0,0.275,24.1,2.9,6.6,0.448,1.8,4.2,0.423,0.5,0.6,0.806,0.7,3.6,4.4,1.4,0.8,0.7,0.2,0.3,1.9,0.6,8.2,-3.0,17.7,2.0,0.0,17.7,226.0,357.0,37.0,480.0,191.0,251.0,246.0,253.0,111.0,140.0,44.0,402.0,423.0,204.0,219.0,148.0,165.0,265.0,297.0,179.0,317.0,282.0,194.0,431.0,237.0,450.0,252.0,146.0,29.0,231.0,2020-21,10.299999999999999,0.5973193473193473,3.0000600012000236e-05,33.17757009345794
T436,Malik Beasley,SG,DET,27,2024,2024,1,"$6,000,000 ","$6,000,000 ",Free Agent,"$6,000,000.00 ",6000000.0,2023-24,1627736.0,Malik Beasley,Malik,1610612749.0,MIL,27.0,79.0,46.0,33.0,0.582,29.6,4.1,9.1,0.443,2.8,6.9,0.413,0.3,0.4,0.714,0.5,3.2,3.7,1.4,0.7,0.7,0.1,0.3,2.0,0.5,11.3,3.7,19.6,1.0,0.0,20.8,30.0,52.0,128.0,203.0,105.0,160.0,143.0,317.0,23.0,31.0,59.0,446.0,452.0,369.0,340.0,166.0,209.0,274.0,305.0,186.0,441.0,270.0,154.0,416.0,150.0,57.0,207.0,190.0,38.0,182.0,2023-24,11.4,0.6090987494609746,3.353008236635321e-05,35.981308411214954
443,Isaiah Joe,SG,OKC,23,2022,2024,3,"$5,998,321 ","$1,999,440 ",Free Agent,"$6,357,177.07 ",2119059.02,2021-22,1630198.0,Isaiah Joe,Isaiah,1610612755.0,PHI,22.0,55.0,35.0,20.0,0.636,11.1,1.1,3.2,0.35,0.8,2.5,0.333,0.5,0.6,0.935,0.1,0.9,1.0,0.6,0.3,0.3,0.1,0.1,0.9,0.6,3.6,0.4,6.4,0.0,0.0,6.7,247.0,146.0,341.0,134.0,455.0,481.0,457.0,514.0,263.0,268.0,266.0,407.0,454.0,34.0,545.0,525.0,531.0,442.0,492.0,482.0,503.0,496.0,498.0,449.0,450.0,235.0,495.0,268.0,40.0,488.0,2021-22,3.0999999999999988,0.5196304849884527,9.117829415411837e-06,16.58878504672897
444,Daequan Cook,SG,OKC,20,2008,2011,4,"$5,989,577 ","$1,497,394 ",Rookie,"$8,476,656.35 ",2119164.09,2007-08,201161.0,Daequan Cook,Daequan,1610612748.0,MIA,21.0,59.0,9.0,50.0,0.153,24.4,3.3,8.7,0.381,1.3,4.0,0.332,0.8,1.0,0.825,0.3,2.7,3.0,1.3,1.1,0.4,0.2,0.5,2.7,0.8,8.8,-5.2,14.8,0.0,0.0,15.5,253.0,368.0,36.0,439.0,166.0,164.0,130.0,367.0,67.0,51.0,174.0,277.0,307.0,97.0,352.0,172.0,217.0,214.0,206.0,291.0,291.0,150.0,78.0,328.0,163.0,430.0,230.0,222.0,17.0,204.0,2007-08,7.000000000000002,0.4814004376367616,2.0588647067059e-05,25.700934579439256
445,Josh Richardson,SG,MIA,29,2023,2024,2,"$5,942,620 ","$2,971,310 ",Free Agent,"$6,051,859.34 ",3025929.67,2022-23,1626196.0,Josh Richardson,Josh,1610612740.0,NOP,29.0,65.0,24.0,41.0,0.369,23.5,3.7,8.5,0.431,1.6,4.5,0.365,1.1,1.2,0.852,0.6,2.1,2.7,2.7,1.3,1.1,0.3,0.1,1.8,1.5,10.1,-2.5,20.1,1.0,0.0,19.8,171.0,271.0,48.0,425.0,195.0,185.0,156.0,353.0,113.0,112.0,203.0,238.0,266.0,119.0,282.0,310.0,312.0,141.0,162.0,68.0,245.0,429.0,233.0,205.0,175.0,438.0,198.0,192.0,39.0,191.0,2022-23,10.700000000000001,0.5593708462560921,3.1471217659647315e-05,34.34579439252336
T446,Seth Curry,SG,DAL,25,2016,2017,2,"$5,926,410 ","$2,963,205 ",,"$7,524,071.36 ",3762035.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T446,Dion Waiters,SG,MIA,24,2016,2017,2,"$5,926,410 ","$2,963,205 ",,"$7,524,071.36 ",3762035.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,Josh Okogie,SG,PHX,24,2023,2024,2,"$5,772,671 ","$2,886,336 ",Free Agent,"$5,878,786.28 ",2939393.14,2022-23,1629006.0,Josh Okogie,Josh,1610612756.0,PHX,24.0,72.0,38.0,34.0,0.528,18.8,2.3,5.8,0.391,0.9,2.7,0.335,1.9,2.7,0.724,1.5,2.0,3.5,1.5,0.9,0.8,0.5,0.4,1.6,2.5,7.3,1.5,16.6,2.0,0.0,15.7,102.0,95.0,121.0,221.0,280.0,314.0,272.0,458.0,235.0,232.0,286.0,126.0,113.0,341.0,91.0,326.0,230.0,250.0,271.0,156.0,143.0,225.0,293.0,104.0,261.0,128.0,245.0,155.0,39.0,256.0,2022-23,8.4,0.5223239839725243,2.4706376480470785e-05,28.971962616822424
T449,Sonny Weems,SG,PHX,29,2015,2016,2,"$5,754,630 ","$2,877,315 ",,"$7,398,463.13 ",3699231.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T449,Manu Ginobili,SG,SAS,37,2015,2016,2,"$5,754,630 ","$2,877,315 ",,"$7,398,463.13 ",3699231.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,J.R. Smith,SG,NYK,26,2012,2013,2,"$5,739,194 ","$2,869,597 ",,"$7,616,430.36 ",3808215.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,Quincy Pondexter,SG,NOH,21,2010,2013,4,"$5,686,878 ","$1,421,720 ",Rookie,"$7,944,941.43 ",1986235.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,Rudy Fernandez,SG,POR,23,2008,2011,4,"$5,676,523 ","$1,419,131 ",Rookie,"$8,033,611.51 ",2008402.88,2007-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,Tony Wroten Jr.,SG,MEM,18,2012,2015,3,"$5,659,594 ","$1,886,531 ",Rookie,"$7,510,793.95 ",2503597.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,Marco Belinelli,SG,SAS,26,2013,2014,2,"$5,623,750 ","$2,811,875 ",,"$7,357,477.99 ",3678739.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,Nick Young,SG,PHI,26,2012,2012,1,"$5,600,000 ","$5,600,000 ",,"$7,431,707.32 ",7431707.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T457,Kirk Hinrich,SG,CHI,32,2014,2015,2,"$5,586,940 ","$2,793,470 ",,"$7,191,975.57 ",3595987.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T457,Mike Miller,SG,CLE,33,2014,2015,2,"$5,586,940 ","$2,793,470 ",,"$7,191,975.57 ",3595987.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,Davon Reed,SG,PHX,21,2017,2020,4,"$5,565,327 ","$1,391,332 ",Rookie,"$6,918,625.61 ",1729656.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,Sasha Pavlovic,SG,UTA,19,2003,2006,4,"$5,535,326 ","$1,383,832 ",Rookie,"$9,166,379.52 ",2291594.88,2002-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,Jordan Crawford,SG,ATL,21,2010,2013,4,"$5,523,858 ","$1,380,965 ",Rookie,"$7,717,191.80 ",1929297.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,Eddie House,SG,BOS,30,2008,2009,2,"$5,512,000 ","$2,756,000 ",,"$7,800,772.88 ",3900386.44,2007-08,2067.0,Eddie House,Eddie,1610612738.0,BOS,30.0,78.0,62.0,16.0,0.795,19.0,2.8,6.8,0.409,1.5,3.8,0.393,0.4,0.5,0.917,0.2,1.9,2.1,1.9,1.0,0.8,0.1,0.1,1.5,0.5,7.5,3.6,14.7,0.0,0.0,14.8,86.0,2.0,334.0,23.0,243.0,211.0,188.0,323.0,50.0,56.0,62.0,369.0,396.0,20.0,391.0,254.0,298.0,143.0,230.0,144.0,314.0,393.0,312.0,400.0,209.0,45.0,236.0,222.0,17.0,215.0,2007-08,7.300000000000001,0.5341880341880342,2.1471017655647237e-05,26.401869158878505
463,Alex Caruso,SG,LAL,24,2019,2020,2,"$5,500,000 ","$2,750,000 ",Free Agent,"$6,553,969.50 ",3276984.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,Archie Goodwin,SG,PHX,18,2013,2016,4,"$5,430,929 ","$1,357,732 ",Rookie,"$7,105,212.82 ",1776303.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,Wayne Ellington,SG,DAL,25,2013,2014,2,"$5,423,340 ","$2,711,670 ",,"$7,095,284.23 ",3547642.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,Pelle Larsson,SG,MIA,23,2024,2026,3,"$5,408,802 ","$1,802,934 ",Rookie,"$5,408,802.00 ",1802934.0,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,Luguentz Dort,SG,OKC,19,2019,2022,4,"$5,386,930 ","$1,346,733 ",rest-of-season,"$6,419,231.80 ",1604807.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,Marko Guduric,SG,MEM,23,2019,2020,2,"$5,375,000 ","$2,687,500 ",Free Agent,"$6,405,015.64 ",3202507.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,Damion Lee,SG,PHX,30,2023,2024,2,"$5,373,575 ","$2,686,788 ",Free Agent,"$5,472,353.95 ",2736176.98,2022-23,1627814.0,Damion Lee,Damion,1610612756.0,PHX,30.0,74.0,40.0,34.0,0.541,20.4,2.7,6.1,0.442,1.5,3.3,0.445,1.3,1.4,0.904,0.5,2.5,3.0,1.3,1.1,0.4,0.1,0.2,1.6,1.4,8.2,1.1,14.3,0.0,0.0,15.0,79.0,74.0,121.0,204.0,242.0,265.0,252.0,312.0,136.0,185.0,29.0,206.0,241.0,54.0,321.0,241.0,268.0,276.0,216.0,349.0,448.0,372.0,287.0,228.0,237.0,151.0,293.0,253.0,39.0,270.0,2022-23,8.400000000000002,0.6104824300178678,2.4706376480470785e-05,28.971962616822424
470,Wayne Ellington,SG,MIN,21,2009,2012,4,"$5,319,802 ","$1,329,951 ",Rookie,"$7,556,846.94 ",1889211.74,2008-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,Andre Roberson,SG,OKC,21,2013,2016,4,"$5,295,312 ","$1,323,828 ",Rookie,"$6,927,786.89 ",1731946.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,Toney Douglas,SG,NYK,22,2009,2012,4,"$5,280,760 ","$1,320,190 ",Rookie,"$7,501,387.28 ",1875346.82,2008-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,Francisco Garcia,SG,SAC,23,2005,2008,5,"$5,261,254 ","$1,052,251 ",Rookie,"$8,208,418.30 ",1641683.66,2004-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,Wesley Matthews,SG,MIL,32,2019,2020,2,"$5,257,744 ","$2,628,872 ",Free Agent,"$6,265,289.78 ",3132644.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,James Young,SG,BOS,18,2014,2016,3,"$5,249,520 ","$1,749,840 ",Rookie,"$6,757,620.38 ",2252540.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T476,Rayan Rupert,SG,POR,19,2023,2025,3,"$5,233,097 ","$1,744,366 ",Rookie,"$5,329,293.64 ",1776431.21,2022-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T476,Sidy Cissoko,SG,SAS,19,2023,2025,3,"$5,233,097 ","$1,744,366 ",Rookie,"$5,329,293.64 ",1776431.21,2022-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
